category,week_of_year,mean_sales_units,category_mean_sales_units,seasonal_index
FOODS,1,173678.2,165188.58633093524,1.0513934640257583
FOODS,2,179152.4,165188.58633093524,1.0845325574800304
FOODS,3,166665.2,165188.58633093524,1.0089389569937148
FOODS,4,134441.33333333334,165188.58633093524,0.8138657537996995
FOODS,5,164076.0,165188.58633093524,0.9932647505760095
FOODS,6,176731.16666666666,165188.58633093524,1.0698751686911785
FOODS,7,169439.83333333334,165188.58633093524,1.0257357187734584
FOODS,8,151898.33333333334,165188.58633093524,0.9195449680102202
FOODS,9,160976.5,165188.58633093524,0.9745013476748519
FOODS,10,172026.83333333334,165188.58633093524,1.0413966070797318
FOODS,11,169649.5,165188.58633093524,1.0270049751508126
FOODS,12,155232.83333333334,165188.58633093524,0.9397309873597637
FOODS,13,155166.83333333334,165188.58633093524,0.9393314440168128
FOODS,14,176494.33333333334,165188.58633093524,1.0684414538165998
FOODS,15,171637.33333333334,165188.58633093524,1.0390386959876199
FOODS,16,159497.66666666666,165188.58633093524,0.965548953528378
FOODS,17,149397.66666666666,165188.58633093524,0.904406714682857
FOODS,18,167807.33333333334,165188.58633093524,1.0158530747224372
FOODS,19,174875.66666666666,165188.58633093524,1.0586425524359444
FOODS,20,166698.83333333334,165188.58633093524,1.0091425626669661
FOODS,21,144901.0,165188.58633093524,0.8771853020747358
FOODS,22,154705.2,165188.58633093524,0.9365368603013949
FOODS,23,178734.4,165188.58633093524,1.0820021163080078
FOODS,24,177838.6,165188.58633093524,1.0765792234805012
FOODS,25,162656.2,165188.58633093524,0.9846697257529531
FOODS,26,156959.2,165188.58633093524,0.9501818708318706
FOODS,27,183388.4,165188.58633093524,1.1101759756730627
FOODS,28,181858.6,165188.58633093524,1.1009150452784215
FOODS,29,167014.2,165188.58633093524,1.011051693761743
FOODS,30,154396.6,165188.58633093524,0.9346686924887485
FOODS,31,170296.0,165188.58633093524,1.0309186838056272
FOODS,32,183816.4,165188.58633093524,1.1127669537152294
FOODS,33,178940.0,165188.58633093524,1.0832467543581703
FOODS,34,162689.2,165188.58633093524,0.9848694974244285
FOODS,35,160769.8,165188.58633093524,0.9732500505689736
FOODS,36,183119.2,165188.58633093524,1.1085463231287842
FOODS,37,181591.8,165188.58633093524,1.0992999215829773
FOODS,38,163397.0,165188.58633093524,0.9891542970932264
FOODS,39,158857.2,165188.58633093524,0.961671768785217
FOODS,40,177014.0,165188.58633093524,1.0715873531684204
FOODS,41,180521.0,165188.58633093524,1.0928176335279494
FOODS,42,162883.8,165188.58633093524,0.9860475449174322
FOODS,43,149743.4,165188.58633093524,0.9064996760733051
FOODS,44,160824.8,165188.58633093524,0.9735830033547661
FOODS,45,172632.2,165188.58633093524,1.0450613074086874
FOODS,46,165329.4,165188.58633093524,1.0008524418798683
FOODS,47,148079.8,165188.58633093524,0.8964287623561359
FOODS,48,144198.0,165188.58633093524,0.8729295601036069
FOODS,49,171380.4,165188.58633093524,1.0374833020040513
FOODS,50,167862.0,165188.58633093524,1.0161840096125583
FOODS,51,158516.8,165188.58633093524,0.9596110937255123
FOODS,52,135555.8,165188.58633093524,0.82061238618769
FOODS,53,166308.0,165188.58633093524,1.0067765799921682
HOBBIES,1,21872.6,22448.40287769784,0.9743499401344986
HOBBIES,2,20959.2,22448.40287769784,0.9336610766560439
HOBBIES,3,21440.2,22448.40287769784,0.9550879907496904
HOBBIES,4,20427.0,22448.40287769784,0.9099533766962961
HOBBIES,5,23446.333333333332,22448.40287769784,1.0444544077844808
HOBBIES,6,22938.0,22448.40287769784,1.0218098866529417
HOBBIES,7,23077.5,22448.40287769784,1.0280241372060885
HOBBIES,8,22828.333333333332,22448.40287769784,1.0169246096350555
HOBBIES,9,22861.5,22448.40287769784,1.0184020718334739
HOBBIES,10,22372.0,22448.40287769784,0.9965965116487754
HOBBIES,11,22808.833333333332,22448.40287769784,1.0160559509555833
HOBBIES,12,22501.833333333332,22448.40287769784,1.0023801450787653
HOBBIES,13,22590.0,22448.40287769784,1.0063076702192846
HOBBIES,14,23766.833333333332,22448.40287769784,1.0587315927470873
HOBBIES,15,23732.666666666668,22448.40287769784,1.0572095839497215
HOBBIES,16,22435.0,22448.40287769784,0.9994029473824547
HOBBIES,17,23657.333333333332,22448.40287769784,1.0538537401623589
HOBBIES,18,22878.833333333332,22448.40287769784,1.0191742128818937
HOBBIES,19,23111.333333333332,22448.40287769784,1.0295312971371386
HOBBIES,20,23181.166666666668,22448.40287769784,1.032642134630291
HOBBIES,21,21753.0,22448.40287769784,0.9690221669004028
HOBBIES,22,23102.6,22448.40287769784,1.0291422568396655
HOBBIES,23,23767.8,22448.40287769784,1.058774654459403
HOBBIES,24,22658.2,22448.40287769784,1.00934574826749
HOBBIES,25,23006.2,22448.40287769784,1.0248479647011468
HOBBIES,26,22737.0,22448.40287769784,1.0128560202645362
HOBBIES,27,22778.4,22448.40287769784,1.0147002494609543
HOBBIES,28,22494.6,22448.40287769784,1.0020579246797132
HOBBIES,29,23154.0,22448.40287769784,1.0314319520255564
HOBBIES,30,21294.2,22448.40287769784,0.9485841873033861
HOBBIES,31,22794.0,22448.40287769784,1.015395176404532
HOBBIES,32,21589.6,22448.40287769784,0.9617432526324156
HOBBIES,33,21652.0,22448.40287769784,0.9645229604067265
HOBBIES,34,21325.4,22448.40287769784,0.9499740411905416
HOBBIES,35,21140.8,22448.40287769784,0.9417507390248717
HOBBIES,36,20805.6,22448.40287769784,0.92681871905774
