series_id,category,week_start,sales_units,segment_label,lag_1,lag_13,lag_52,rolling_4_mean,rolling_13_mean,rolling_4_ratio_to_rolling_mean,rolling_13_recent_trend_delta,week_of_year,month,quarter,category_code,segment_code
FOODS,FOODS,2016-01-04,188614,stable,166308.0,200451.0,178043.0,162773.75,170662.38461538462,1.0217126532994416,-34143.0,1,1,1,0,0
FOODS,FOODS,2016-01-11,192196,stable,188614.0,188906.0,172396.0,167121.25,169751.84615384616,1.1286057278772148,-292.0,2,1,1,0,0
FOODS,FOODS,2016-01-18,177317,stable,192196.0,170327.0,154850.0,172015.25,170004.92307692306,1.117319539982647,21869.0,3,1,1,0,0
FOODS,FOODS,2016-01-25,171099,stable,177317.0,165798.0,158785.0,181108.75,170542.61538461538,0.9790636841124463,11519.0,4,1,1,0,0
FOODS,FOODS,2016-02-01,196176,stable,171099.0,177296.0,186691.0,182306.5,170950.38461538462,0.9385238595442291,-6197.0,5,2,1,0,0
FOODS,FOODS,2016-02-08,207012,stable,196176.0,178766.0,183405.0,184197.0,172402.6923076923,1.0650336324695842,17410.0,6,2,1,0,0
FOODS,FOODS,2016-02-15,198657,stable,207012.0,163600.0,153988.0,187901.0,174575.46153846153,1.1017078142213186,43412.0,7,2,1,0,0
FOODS,FOODS,2016-02-22,178807,stable,198657.0,150214.0,149304.0,193236.0,177272.15384615384,1.0280537787989816,48443.0,8,2,1,0,0
FOODS,FOODS,2016-02-29,199561,stable,178807.0,172158.0,173559.0,195163.0,179471.61538461538,0.9161931308700932,6649.0,9,2,1,0,0
FOODS,FOODS,2016-03-07,202687,stable,199561.0,171224.0,173788.0,196009.25,181579.53846153847,1.0181203183013046,28337.0,10,3,1,0,0
FOODS,FOODS,2016-03-14,193108,stable,202687.0,172620.0,157071.0,194928.0,183999.76923076922,1.0398044406139704,30067.0,11,3,1,0,0
FOODS,FOODS,2016-03-21,195565,stable,193108.0,140943.0,151487.0,193540.75,185575.76923076922,0.9977640367726176,52165.0,12,3,1,0,0
FOODS,FOODS,2016-03-28,189164,stable,195565.0,166308.0,173450.0,197730.25,189777.46153846153,0.9890494752320396,29257.0,13,3,1,0,0
FOODS,FOODS,2016-04-04,211390,stable,189164.0,188614.0,174171.0,195131.0,191535.61538461538,0.9694205431223127,550.0,14,4,2,0,0
FOODS,FOODS,2016-04-11,201045,stable,211390.0,192196.0,166242.0,197306.75,193287.61538461538,1.0713774364029613,19194.0,15,4,2,0,0
FOODS,FOODS,2016-04-18,189333,stable,201045.0,177317.0,156479.0,199291.0,193968.3076923077,1.0088012002549036,23728.0,16,4,2,0,0
FOODS,FOODS,2016-04-25,191019,stable,189333.0,171099.0,170596.0,197733.0,194892.61538461538,0.9575184718787456,18234.0,17,4,2,0,0
FOODS,FOODS,2016-05-02,213122,stable,191019.0,196176.0,175994.0,198196.75,196424.92307692306,0.9637847240179266,-5157.0,18,5,2,0,0
FOODS,FOODS,2016-05-09,225812,stable,213122.0,207012.0,171391.0,198629.75,197728.46153846153,1.0729611249070192,6110.0,19,5,2,0,0
FOODS,FOODS,2016-05-16,202535,stable,225812.0,198657.0,150530.0,204821.5,199174.61538461538,1.1024819171815459,27155.0,20,5,2,0,0
