series_id,category,week_start,sales_units,segment_label,lag_1,lag_13,lag_52,rolling_4_mean,rolling_13_mean,rolling_4_ratio_to_rolling_mean,rolling_13_recent_trend_delta,week_of_year,month,quarter,category_code,segment_code
HOBBIES,HOBBIES,2016-01-04,26622,stable,26913.0,27168.0,21698.0,27407.0,28145.30769230769,0.9819754077425475,-255.0,1,1,1,1,0
HOBBIES,HOBBIES,2016-01-11,25274,stable,26622.0,28451.0,22588.0,26934.5,28103.30769230769,0.9883977797991423,-1829.0,2,1,1,1,0
HOBBIES,HOBBIES,2016-01-18,25832,stable,25274.0,29022.0,23487.0,25884.5,27858.923076923078,0.976414456528038,-3748.0,3,1,1,1,0
HOBBIES,HOBBIES,2016-01-25,27832,stable,25832.0,29827.0,24985.0,26160.25,27613.53846153846,0.9874523370380635,-3995.0,4,1,1,1,0
HOBBIES,HOBBIES,2016-02-01,27960,stable,27832.0,29411.0,26349.0,26390.0,27460.076923076922,1.0546419098143236,-1579.0,5,2,1,1,0
HOBBIES,HOBBIES,2016-02-08,27188,stable,27960.0,27873.0,26007.0,26724.5,27348.46153846154,1.0462309865479242,87.0,6,2,1,1,0
HOBBIES,HOBBIES,2016-02-15,27506,stable,27188.0,28916.0,25493.0,27203.0,27295.76923076923,0.9994485902290189,-1728.0,7,2,1,1,0
HOBBIES,HOBBIES,2016-02-22,26836,stable,27506.0,24903.0,26400.0,27621.5,27187.30769230769,0.995818474738881,2603.0,8,2,1,1,0
HOBBIES,HOBBIES,2016-02-29,27853,stable,26836.0,30690.0,26019.0,27372.5,27336.0,0.9804000365330167,-3854.0,9,2,1,1,0
HOBBIES,HOBBIES,2016-03-07,25958,stable,27853.0,28512.0,25498.0,27345.75,27117.76923076923,1.0185495003794007,-659.0,10,3,1,1,0
HOBBIES,HOBBIES,2016-03-14,26519,stable,25958.0,29474.0,25185.0,27038.25,26921.30769230769,0.960047340341923,-3516.0,11,3,1,1,0
HOBBIES,HOBBIES,2016-03-21,25605,stable,26519.0,24729.0,25402.0,26791.5,26694.0,0.9898288636321221,1790.0,12,3,1,1,0
HOBBIES,HOBBIES,2016-03-28,28311,stable,25605.0,26913.0,26786.0,26483.75,26761.384615384617,0.9668192759711144,-1308.0,13,3,1,1,0
HOBBIES,HOBBIES,2016-04-04,27290,stable,28311.0,26622.0,27047.0,26598.25,26868.923076923078,1.0643933341479233,1689.0,14,4,2,1,0
HOBBIES,HOBBIES,2016-04-11,27683,stable,27290.0,25274.0,24620.0,26931.25,26920.30769230769,1.0133209561383152,2016.0,15,4,2,1,0
HOBBIES,HOBBIES,2016-04-18,27490,stable,27683.0,25832.0,26415.0,27222.25,27105.615384615383,1.0169254929331706,1851.0,16,4,2,1,0
HOBBIES,HOBBIES,2016-04-25,29056,stable,27490.0,27832.0,26135.0,27693.5,27233.153846153848,0.9926517052738008,-342.0,17,4,2,1,0
HOBBIES,HOBBIES,2016-05-02,28886,stable,29056.0,27960.0,26818.0,27879.75,27327.30769230769,1.0421901200692258,1096.0,18,5,2,1,0
HOBBIES,HOBBIES,2016-05-09,28786,stable,28886.0,27188.0,26561.0,28278.75,27398.53846153846,1.0214737214339389,1698.0,19,5,2,1,0
HOBBIES,HOBBIES,2016-05-16,29128,stable,28786.0,27506.0,26868.0,28554.5,27521.46153846154,1.0081073035773696,1280.0,20,5,2,1,0
