metric,value
aggregation_level,sku
source_frequency,daily
weekly_rule,W-MON
period_start,2011-01-24
period_end,2016-05-16
number_of_series,3049
number_of_categories,3
history_weeks_min,278
history_weeks_median,278.0
history_weeks_max,278
zero_share_mean,0.21993766089129352
missing_share_mean,0.0
outlier_share_mean,0.008454240215567788
mean_cv,0.7684605388855406
mean_trend_strength,1.568250462238846
short_history_share,0.0
high_zero_share_share,0.24237454903246966
high_variance_share,0.252869793374877
problematic_share,0.0
intermittent_share,0.24237454903246966
weekly_grid_complete_share,1.0
price_available_raw,True
promo_available_raw,False
price_allowed_for_default_model,False
promo_allowed_for_default_model,False
stockout_risk,high
structural_shift_risk,not_assessed
raw_item_count,3049
raw_store_count,10
raw_state_count,3
raw_department_count,7
raw_daily_observations,1941
