sales_rank,series_id,category,segment_label,total_sales_units,sales_share,cumulative_sales_share,mean_sales_units,median_sales_units,zero_share,outlier_share,coefficient_of_variation,trend_strength
1,FOODS_3_090,FOODS,medium_noise,1017916,0.01520930818338913,0.01520930818338913,3661.568345323741,4013.5,0.11151079136690648,0.01079136690647482,0.6353948962899072,0.0058976163554046385
2,FOODS_3_586,FOODS,stable,932236,0.013929110676765026,0.029138418860154155,3353.36690647482,3328.0,0.0,0.007194244604316547,0.15411536741825121,1.5785496838280966
3,FOODS_3_252,FOODS,stable,573723,0.008572347736845242,0.0377107665969994,2063.751798561151,1993.5,0.0,0.01079136690647482,0.20004830608854193,0.14613362828015192
4,FOODS_3_555,FOODS,stable,497881,0.0074391458309467215,0.04514991242794612,1790.9388489208634,1717.0,0.0,0.007194244604316547,0.2048051470612983,2.362105985760528
5,FOODS_3_587,FOODS,medium_noise,402159,0.00600890463429555,0.05115881706224167,1446.6151079136691,1668.5,0.0,0.0,0.46419421256919885,0.09649987766124121
6,FOODS_3_714,FOODS,stable,402111,0.006008187436812847,0.05716700449905452,1446.4424460431655,1408.5,0.0,0.0035971223021582736,0.21880878352544464,0.5760251502894164
7,FOODS_3_694,FOODS,stable,395937,0.0059159379106002285,0.06308294240965474,1424.2338129496402,1428.0,0.0,0.0035971223021582736,0.13994194445841504,0.7196913293265318
8,FOODS_3_226,FOODS,stable,368369,0.00550402748970138,0.06858696989935613,1325.068345323741,1329.5,0.0,0.0035971223021582736,0.1513173514231351,1.3895940659909636
9,FOODS_3_202,FOODS,medium_noise,300529,0.004490388380815069,0.0730773582801712,1081.0395683453237,1141.0,0.0,0.0,0.37429105009057084,0.17164457805734343
10,FOODS_3_120,FOODS,medium_noise,290132,0.004335040417738846,0.07741239869791004,1043.6402877697842,1118.0,0.19424460431654678,0.0,0.6756504202268333,2.672238775980414
11,FOODS_3_723,FOODS,medium_noise,289170,0.004320666584856348,0.08173306528276639,1040.179856115108,1131.5,0.11510791366906475,0.0035971223021582736,0.6079837998349821,0.3168122730420787
12,FOODS_3_635,FOODS,medium_noise,282174,0.004216135051752447,0.08594920033451883,1015.0143884892086,922.5,0.050359712230215826,0.0035971223021582736,0.647770587737766,1.2968661492562559
13,FOODS_3_808,FOODS,medium_noise,281888,0.004211861750084677,0.0901610620846035,1013.9856115107914,936.0,0.03237410071942446,0.007194244604316547,0.6444588649531291,0.8348503435606228
