series_id,category,week_start,sales_units,segment_label,lag_1,lag_13,lag_52,rolling_4_mean,rolling_13_mean,rolling_4_ratio_to_rolling_mean,rolling_13_recent_trend_delta,week_of_year,month,quarter,category_code,segment_code
FOODS_3_090,FOODS,2016-01-04,2811,medium_noise,6.0,4003.0,4204.0,11.75,2553.076923076923,0.5106382978723404,-3997.0,1,1,1,0,0
FOODS_3_090,FOODS,2016-01-11,3747,medium_noise,2811.0,3398.0,4146.0,710.5,2461.3846153846152,3.9563687543983113,-587.0,2,1,1,0,0
FOODS_3_090,FOODS,2016-01-18,3509,medium_noise,3747.0,4172.0,3862.0,1645.25,2488.230769230769,2.277465430785595,-425.0,3,1,1,0,0
FOODS_3_090,FOODS,2016-01-25,3392,medium_noise,3509.0,4012.0,4212.0,2518.25,2437.230769230769,1.393427975776829,-503.0,4,1,1,0,0
FOODS_3_090,FOODS,2016-02-01,3940,medium_noise,3392.0,3507.0,3994.0,3364.75,2389.5384615384614,1.0080986700349208,-115.0,5,2,1,0,0
FOODS_3_090,FOODS,2016-02-08,3630,medium_noise,3940.0,3894.0,1610.0,3647.0,2422.846153846154,1.0803400054839594,46.0,6,2,1,0,0
FOODS_3_090,FOODS,2016-02-15,3977,medium_noise,3630.0,3676.0,16.0,3617.75,2402.5384615384614,1.0033860825098473,-46.0,7,2,1,0,0
FOODS_3_090,FOODS,2016-02-22,3792,medium_noise,3977.0,5267.0,6.0,3734.75,2425.6923076923076,1.0648637793694358,-1290.0,8,2,1,0,0
FOODS_3_090,FOODS,2016-02-29,3864,medium_noise,3792.0,1214.0,7.0,3834.75,2312.230769230769,0.9888519460199492,2578.0,9,2,1,0,0
FOODS_3_090,FOODS,2016-03-07,3931,medium_noise,3864.0,16.0,3030.0,3815.75,2516.076923076923,1.0126449583961212,3848.0,10,3,1,0,0
FOODS_3_090,FOODS,2016-03-14,3658,medium_noise,3931.0,8.0,3432.0,3891.0,2817.230769230769,1.0102801336417373,3923.0,11,3,1,0,0
FOODS_3_090,FOODS,2016-03-21,4381,medium_noise,3658.0,17.0,3337.0,3811.25,3098.0,0.9597900951131518,3641.0,12,3,1,0,0
FOODS_3_090,FOODS,2016-03-28,3548,medium_noise,4381.0,6.0,3816.0,3958.5,3433.6923076923076,1.1067323481116584,4375.0,13,3,1,0,0
FOODS_3_090,FOODS,2016-04-04,3874,medium_noise,3548.0,2811.0,3565.0,3879.5,3706.153846153846,0.9145508441809511,737.0,14,4,2,0,0
FOODS_3_090,FOODS,2016-04-11,3964,medium_noise,3874.0,3747.0,3854.0,3865.25,3787.923076923077,1.0022637604294677,127.0,15,4,2,0,0
FOODS_3_090,FOODS,2016-04-18,3771,medium_noise,3964.0,3509.0,3745.0,3941.75,3804.6153846153848,1.0056447009576965,455.0,16,4,2,0,0
FOODS_3_090,FOODS,2016-04-25,3945,medium_noise,3771.0,3392.0,4551.0,3789.25,3824.769230769231,0.9951837434848585,379.0,17,4,2,0,0
FOODS_3_090,FOODS,2016-05-02,4063,medium_noise,3945.0,3940.0,4497.0,3888.5,3867.3076923076924,1.0145300244310145,5.0,18,5,2,0,0
FOODS_3_090,FOODS,2016-05-09,3869,medium_noise,4063.0,3630.0,1566.0,3935.75,3876.769230769231,1.0323318300196913,433.0,19,5,2,0,0
FOODS_3_090,FOODS,2016-05-16,3510,medium_noise,3869.0,3977.0,11.0,3912.0,3895.153846153846,0.9890081799591002,-108.0,20,5,2,0,0
