model_a,model_b,metric,mean_difference,median_difference,ci95_low,ci95_high,n_bootstrap,bootstrap_unit
catboost,ets,WAPE,-0.012145543648527296,-0.012152703432949725,-0.014842552921799545,-0.008904384512812193,150,series_id x forecast_origin x horizon
catboost,lightgbm,WAPE,-0.00017995806297623493,-0.00016142169132939838,-0.002681559023757964,0.0024816581410590957,150,series_id x forecast_origin x horizon
catboost,mlp,WAPE,0.006698579684980199,0.006580168856918839,0.004706848442263296,0.008681663451316003,150,series_id x forecast_origin x horizon
catboost,naive,WAPE,-0.013577238778654941,-0.013518209299994088,-0.016272181458034458,-0.011116416636477791,150,series_id x forecast_origin x horizon
catboost,nbeats,WAPE,0.006371479394128787,0.006218661239276425,0.004361592373562948,0.008651843694243712,150,series_id x forecast_origin x horizon
catboost,ridge,WAPE,-0.0020653908533089026,-0.002085606204000716,-0.004089974478368476,-0.00019717437312946205,150,series_id x forecast_origin x horizon
catboost,seasonal_naive,WAPE,-0.0626231414829797,-0.06269501220085477,-0.06624151823513844,-0.058880608019710824,150,series_id x forecast_origin x horizon
ets,lightgbm,WAPE,0.011965585585551062,0.011969706950198333,0.008618934763672162,0.01537943302020427,150,series_id x forecast_origin x horizon
ets,mlp,WAPE,0.018844123333507497,0.01903611621003986,0.016777115650573052,0.02100555327678616,150,series_id x forecast_origin x horizon
ets,naive,WAPE,-0.0014316951301276432,-0.0014137341015464516,-0.004044356970666068,0.0010193911660534409,150,series_id x forecast_origin x horizon
ets,nbeats,WAPE,0.018517023042656084,0.01859346527518177,0.01613817704915577,0.020762471534010625,150,series_id x forecast_origin x horizon
ets,ridge,WAPE,0.010080152795218393,0.010112178775297145,0.0072680865460882284,0.012363842121359277,150,series_id x forecast_origin x horizon
ets,seasonal_naive,WAPE,-0.050477597834452416,-0.050348728263767545,-0.05471721506439882,-0.04692589404804849,150,series_id x forecast_origin x horizon
lightgbm,mlp,WAPE,0.006878537747956435,0.007049692310650613,0.0031142755272017797,0.009810395573758486,150,series_id x forecast_origin x horizon
lightgbm,naive,WAPE,-0.013397280715678705,-0.013264035229227679,-0.017179963397869286,-0.01007456593836242,150,series_id x forecast_origin x horizon
lightgbm,nbeats,WAPE,0.0065514374571050225,0.006597995880814285,0.0032624487220828,0.009459013007046475,150,series_id x forecast_origin x horizon
lightgbm,ridge,WAPE,-0.0018854327903326685,-0.0018298270049405402,-0.00551016149326403,0.0009900652944502286,150,series_id x forecast_origin x horizon
lightgbm,seasonal_naive,WAPE,-0.062443183420003476,-0.06252575720994495,-0.06629462218875597,-0.058740055073290186,150,series_id x forecast_origin x horizon
mlp,naive,WAPE,-0.02027581846363514,-0.020261162701659452,-0.023243929188791267,-0.017814866574225652,150,series_id x forecast_origin x horizon
mlp,nbeats,WAPE,-0.0003271002908514128,-0.00026414276381256374,-0.0016264183903580086,0.0008835732299149551,150,series_id x forecast_origin x horizon
mlp,ridge,WAPE,-0.008763970538289102,-0.008728448150947109,-0.010472257009688754,-0.00694426558576227,150,series_id x forecast_origin x horizon
mlp,seasonal_naive,WAPE,-0.06932172116795993,-0.0692696686847804,-0.07289387533370412,-0.06572756815258522,150,series_id x forecast_origin x horizon
naive,nbeats,WAPE,0.01994871817278373,0.019886407270562637,0.017371490132270597,0.022848896831590786,150,series_id x forecast_origin x horizon
naive,ridge,WAPE,0.011511847925346036,0.011426975589734371,0.009466869761990121,0.01387337541325669,150,series_id x forecast_origin x horizon
naive,seasonal_naive,WAPE,-0.04904590270432478,-0.04916148661454363,-0.05334416102162508,-0.045145550335207875,150,series_id x forecast_origin x horizon
nbeats,ridge,WAPE,-0.00843687024743769,-0.008411888673745586,-0.010464653725900584,-0.006685703566413729,150,series_id x forecast_origin x horizon
nbeats,seasonal_naive,WAPE,-0.06899462087710852,-0.06905260372599031,-0.07269183343601313,-0.06530095917949295,150,series_id x forecast_origin x horizon
ridge,seasonal_naive,WAPE,-0.06055775062967084,-0.060617385072613064,-0.06399007707408354,-0.056632881508879865,150,series_id x forecast_origin x horizon
