model_name,model_family,series_id,category,segment_label,forecast_origin,target_date,horizon,actual,prediction
mlp,dl,FOODS,FOODS,stable,2012-04-16,2012-04-23,1,143872.0,145914.734375
mlp,dl,HOBBIES,HOBBIES,stable,2012-04-16,2012-04-23,1,19675.0,20069.205078125
mlp,dl,HOUSEHOLD,HOUSEHOLD,stable,2012-04-16,2012-04-23,1,37697.0,38127.8359375
mlp,dl,FOODS,FOODS,stable,2012-04-23,2012-04-30,1,171789.0,168806.6875
mlp,dl,HOBBIES,HOBBIES,stable,2012-04-23,2012-04-30,1,21026.0,20785.890625
mlp,dl,HOUSEHOLD,HOUSEHOLD,stable,2012-04-23,2012-04-30,1,40691.0,38082.4921875
mlp,dl,FOODS,FOODS,stable,2012-04-30,2012-05-07,1,178370.0,180428.375
mlp,dl,HOBBIES,HOBBIES,stable,2012-04-30,2012-05-07,1,15870.0,19894.515625
mlp,dl,HOUSEHOLD,HOUSEHOLD,stable,2012-04-30,2012-05-07,1,35493.0,40276.3359375
mlp,dl,FOODS,FOODS,stable,2012-05-07,2012-05-14,1,174228.0,153578.359375
mlp,dl,HOBBIES,HOBBIES,stable,2012-05-07,2012-05-14,1,16419.0,18547.54296875
mlp,dl,HOUSEHOLD,HOUSEHOLD,stable,2012-05-07,2012-05-14,1,38448.0,36156.25
mlp,dl,FOODS,FOODS,stable,2012-05-14,2012-05-21,1,160175.0,147553.046875
mlp,dl,HOBBIES,HOBBIES,stable,2012-05-14,2012-05-21,1,16249.0,18657.78125
mlp,dl,HOUSEHOLD,HOUSEHOLD,stable,2012-05-14,2012-05-21,1,38358.0,36702.49609375
mlp,dl,FOODS,FOODS,stable,2012-05-21,2012-05-28,1,177703.0,173930.515625
mlp,dl,HOBBIES,HOBBIES,stable,2012-05-21,2012-05-28,1,21519.0,20328.8515625
mlp,dl,HOUSEHOLD,HOUSEHOLD,stable,2012-05-21,2012-05-28,1,47146.0,41633.65234375
mlp,dl,FOODS,FOODS,stable,2012-05-28,2012-06-04,1,194344.0,191502.390625
mlp,dl,HOBBIES,HOBBIES,stable,2012-05-28,2012-06-04,1,21283.0,19588.822265625
mlp,dl,HOUSEHOLD,HOUSEHOLD,stable,2012-05-28,2012-06-04,1,42949.0,41440.8984375
mlp,dl,FOODS,FOODS,stable,2012-06-04,2012-06-11,1,194962.0,177927.09375
mlp,dl,HOBBIES,HOBBIES,stable,2012-06-04,2012-06-11,1,20408.0,18404.8359375
mlp,dl,HOUSEHOLD,HOUSEHOLD,stable,2012-06-04,2012-06-11,1,51327.0,40397.97265625
mlp,dl,FOODS,FOODS,stable,2012-06-11,2012-06-18,1,172830.0,173837.40625
