record_type,name,status,wall_time_seconds
pipeline,experiment,completed,5981.979186625002
stage,experiment_dataset_bundling,completed,2.935163125002873
stage,experiment_dataset_preparation,completed,6.577014833004796
stage,experiment_segmentation,completed,0.002770749997580424
stage,experiment_feature_registry,completed,0.005639916998916306
stage,experiment_supervised_building,completed,0.03290783400007058
stage,experiment_backtest_window_generation,completed,0.06669979100115597
stage,experiment_model_execution,completed,5968.155910750007
stage,experiment_comparison,completed,0.4053656250034692
stage,experiment_best_model_fit,completed,3.796306916992762
model,naive,completed,1.9540426669991575
model,seasonal_naive,completed,1.7444484999869019
model,ets,completed,63.59049495898944
model,ridge,completed,6.837581792002311
model,lightgbm,completed,111.77724229200976
model,catboost,completed,2918.619856833
model,mlp,completed,1074.9438211669913
model,nbeats,completed,1788.4730133330013
