model_name,model_family,series_id,category,segment_label,forecast_origin,target_date,horizon,actual,prediction
nbeats,dl,FOODS,FOODS,stable,2013-10-21,2013-10-28,1,172131.0,178187.078125
nbeats,dl,HOBBIES,HOBBIES,stable,2013-10-21,2013-10-28,1,25569.0,22806.421875
nbeats,dl,HOUSEHOLD,HOUSEHOLD,stable,2013-10-21,2013-10-28,1,57250.0,58581.39453125
nbeats,dl,FOODS,FOODS,stable,2013-11-18,2013-11-25,1,140623.0,161451.78125
nbeats,dl,HOBBIES,HOBBIES,stable,2013-11-18,2013-11-25,1,21798.0,24280.7421875
nbeats,dl,HOUSEHOLD,HOUSEHOLD,stable,2013-11-18,2013-11-25,1,49301.0,54432.67578125
nbeats,dl,FOODS,FOODS,stable,2013-12-16,2013-12-23,1,137601.0,158959.84375
nbeats,dl,HOBBIES,HOBBIES,stable,2013-12-16,2013-12-23,1,20649.0,25393.6953125
nbeats,dl,HOUSEHOLD,HOUSEHOLD,stable,2013-12-16,2013-12-23,1,44569.0,47356.5546875
nbeats,dl,FOODS,FOODS,stable,2014-01-13,2014-01-20,1,154627.0,153499.71875
nbeats,dl,HOBBIES,HOBBIES,stable,2014-01-13,2014-01-20,1,22784.0,22632.822265625
nbeats,dl,HOUSEHOLD,HOUSEHOLD,stable,2014-01-13,2014-01-20,1,49204.0,49480.6328125
nbeats,dl,FOODS,FOODS,stable,2014-02-10,2014-02-17,1,159473.0,162847.359375
nbeats,dl,HOBBIES,HOBBIES,stable,2014-02-10,2014-02-17,1,22138.0,23165.6015625
nbeats,dl,HOUSEHOLD,HOUSEHOLD,stable,2014-02-10,2014-02-17,1,63011.0,59025.5
nbeats,dl,FOODS,FOODS,stable,2014-03-10,2014-03-17,1,161595.0,165293.5
nbeats,dl,HOBBIES,HOBBIES,stable,2014-03-10,2014-03-17,1,21925.0,22311.224609375
nbeats,dl,HOUSEHOLD,HOUSEHOLD,stable,2014-03-10,2014-03-17,1,55666.0,58376.79296875
nbeats,dl,FOODS,FOODS,stable,2014-04-07,2014-04-14,1,187865.0,175473.546875
