model_name,category,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
catboost,FOODS,0.04914179053645939,4.924313273497283,8588.982761990324,10924.226717593241,-3492.4509359708322,6963.672081776953
catboost,HOBBIES,0.06835233925577908,6.702006254851785,1705.1644473079032,2138.522052961759,669.1574465084145,1399.8357260070607
catboost,HOUSEHOLD,0.08810031128741383,8.304195157746221,5375.404014166413,7277.465120099309,2586.786289797486,3583.2779792349284
ets,FOODS,0.0790228948385055,7.9238063855945935,13811.590382872511,17048.187546302368,1521.3741377573988,12564.871824611531
ets,HOBBIES,0.05399121107206742,5.451132777169461,1346.9018703614058,1671.331258242734,64.07584544730896,1102.9855993013607
ets,HOUSEHOLD,0.08368882473629528,8.561159593326552,5106.238988881064,6402.578203044499,45.595103802690886,4418.143818596367
lightgbm,FOODS,0.04924778555808097,4.960186330032203,8607.508530050996,10999.044835599247,-2732.8690284292657,6583.4046312174905
lightgbm,HOBBIES,0.05723433881139043,5.674592445033311,1427.8071645968785,1796.4138345477274,221.9610010744737,1103.3223008789137
lightgbm,HOUSEHOLD,0.05606334107628759,5.656382902619141,3420.681542042523,4312.766147539985,-807.4796499615685,2920.501519104382
mlp,FOODS,0.05132613239041517,5.128430213419676,8970.761169433594,11198.986001538406,1317.7056274414062,8445.453125
mlp,HOBBIES,0.04746181259612295,4.784827058379955,1184.015007019043,1521.5726312556671,103.07353973388672,885.8466796875
mlp,HOUSEHOLD,0.0560146370270294,5.808593733656445,3417.7098846435547,4426.144258661878,-118.19673156738281,2659.455078125
naive,FOODS,0.08207941970846812,8.306206507799,14345.80859375,17737.691793470654,556.55078125,12559.0
naive,HOBBIES,0.048203105622740494,4.879213790697703,1202.5078125,1573.8449509680106,-62.5625,895.5
naive,HOUSEHOLD,0.06881807334235013,7.061365071894871,4198.90625,5337.977795505757,-797.3671875,3435.5
nbeats,FOODS,0.04850875327552586,4.865047169525793,8478.340759277344,10424.604754959668,998.3964233398438,7201.5625
nbeats,HOBBIES,0.052011741454667706,5.236688328125034,1297.5206604003906,1706.2705987059733,51.54536437988281,979.1669921875
nbeats,HOUSEHOLD,0.05585298404609515,5.75858955341695,3407.846694946289,4305.245693638836,-65.67124938964844,2800.00390625
ridge,FOODS,0.05362855942826562,5.39855086694989,9373.178458729677,11547.520078872598,-901.6589255394174,8729.202471944183
ridge,HOBBIES,0.11232012018103515,11.915063825049927,2802.0149381187275,3455.554184010928,-1600.1105219854753,2438.838679782486
ridge,HOUSEHOLD,0.06388057190423659,6.550669157703808,3897.646644187691,4986.750466377989,-1060.2888360098227,3240.5558860420133
seasonal_naive,FOODS,0.091900717195645,9.312647653110115,16062.37109375,19263.989079266365,-2783.13671875,14586.5
seasonal_naive,HOBBIES,0.140326433619694,15.069016828920981,3500.6796875,4209.2332168029725,-2064.65625,3060.0
seasonal_naive,HOUSEHOLD,0.10985744059405878,11.280971903745577,6702.90625,8359.245620494112,-5032.3671875,5508.0
