case_type,model_name,series_id,category,segment_label,forecast_origin,target_date,horizon,actual,prediction,baseline_prediction,model_abs_error,baseline_abs_error,abs_error_gain_vs_baseline
best_win,ridge,FOODS,FOODS,stable,2013-11-18,2014-01-06,7,184549.0,183490.67948208,142672.0,1058.3205179199867,41877.0,40818.67948208001
best_win,lightgbm,FOODS,FOODS,stable,2013-10-21,2013-12-02,6,184812.0,181589.07308677232,141171.0,3222.9269132276822,43641.0,40418.07308677232
best_win,mlp,FOODS,FOODS,stable,2013-10-21,2013-12-02,6,184812.0,188719.953125,141171.0,3907.953125,43641.0,39733.046875
best_win,ets,FOODS,FOODS,stable,2013-11-18,2013-12-02,2,184812.0,181234.93877237733,142672.0,3577.061227622675,42140.0,38562.938772377325
best_win,mlp,FOODS,FOODS,stable,2015-04-06,2015-05-25,7,152872.0,152842.484375,191354.0,29.515625,38482.0,38452.484375
best_win,mlp,FOODS,FOODS,stable,2013-11-18,2013-12-02,2,184812.0,188590.53125,142672.0,3778.53125,42140.0,38361.46875
best_win,nbeats,FOODS,FOODS,stable,2013-11-18,2013-12-02,2,184812.0,180815.375,142672.0,3996.625,42140.0,38143.375
best_win,ridge,FOODS,FOODS,stable,2015-04-06,2015-05-25,7,152872.0,153462.3136419154,191354.0,590.3136419153889,38482.0,37891.68635808461
best_win,nbeats,FOODS,FOODS,stable,2015-04-06,2015-05-25,7,152872.0,151814.609375,191354.0,1057.390625,38482.0,37424.609375
best_win,catboost,FOODS,FOODS,stable,2013-10-21,2013-12-02,6,184812.0,178170.31934124933,141171.0,6641.680658750673,43641.0,36999.31934124933
best_win,mlp,FOODS,FOODS,stable,2015-09-21,2015-10-05,2,200451.0,203283.765625,160625.0,2832.765625,39826.0,36993.234375
best_win,ridge,FOODS,FOODS,stable,2015-04-06,2015-05-18,6,150530.0,155031.59256048326,191354.0,4501.592560483259,40824.0,36322.40743951674
best_win,nbeats,FOODS,FOODS,stable,2015-09-21,2015-10-05,2,200451.0,203964.75,160625.0,3513.75,39826.0,36312.25
best_win,nbeats,FOODS,FOODS,stable,2015-04-06,2015-05-18,6,150530.0,155164.28125,191354.0,4634.28125,40824.0,36189.71875
best_win,ridge,FOODS,FOODS,stable,2014-06-30,2014-08-25,8,164149.0,163827.0735213486,200243.0,321.92647865141043,36094.0,35772.07352134859
best_win,ridge,FOODS,FOODS,stable,2015-09-21,2015-10-05,2,200451.0,196272.29373009555,160625.0,4178.706269904447,39826.0,35647.29373009555
best_win,catboost,FOODS,FOODS,stable,2014-06-30,2014-08-25,8,164149.0,163612.3082807109,200243.0,536.6917192891124,36094.0,35557.30828071089
best_win,lightgbm,FOODS,FOODS,stable,2014-06-30,2014-08-25,8,164149.0,163416.02534989046,200243.0,732.974650109536,36094.0,35361.025349890464
best_win,ets,FOODS,FOODS,stable,2013-11-18,2014-01-06,7,184549.0,191356.3667942879,142672.0,6807.3667942878965,41877.0,35069.6332057121
best_win,ridge,FOODS,FOODS,stable,2013-10-21,2013-12-02,6,184812.0,193429.3491854922,141171.0,8617.349185492203,43641.0,35023.6508145078
worst_loss,ets,FOODS,FOODS,stable,2013-10-21,2013-11-25,5,140623.0,193658.2484341987,141171.0,53035.2484341987,548.0,-52487.2484341987
worst_loss,ets,FOODS,FOODS,stable,2013-11-18,2013-12-23,5,137601.0,188721.07186239486,142672.0,51120.07186239486,5071.0,-46049.07186239486
worst_loss,naive,FOODS,FOODS,stable,2015-06-01,2015-06-08,1,192488.0,152872.0,190457.0,39616.0,2031.0,-37585.0
worst_loss,naive,FOODS,FOODS,stable,2015-06-01,2015-07-06,5,196107.0,152872.0,190457.0,43235.0,5650.0,-37585.0
worst_loss,naive,FOODS,FOODS,stable,2014-06-30,2014-07-07,1,198740.0,159756.0,200243.0,38984.0,1503.0,-37481.0
worst_loss,ets,FOODS,FOODS,stable,2013-11-18,2013-11-25,1,140623.0,179749.6634484146,142672.0,39126.66344841459,2049.0,-37077.66344841459
worst_loss,mlp,FOODS,FOODS,stable,2013-10-21,2013-11-25,5,140623.0,177270.09375,141171.0,36647.09375,548.0,-36099.09375
worst_loss,naive,FOODS,FOODS,stable,2015-10-19,2015-11-23,5,150214.0,188906.0,152870.0,38692.0,2656.0,-36036.0
worst_loss,naive,FOODS,FOODS,stable,2015-06-01,2015-07-13,6,189667.0,152872.0,190457.0,36795.0,790.0,-36005.0
worst_loss,ridge,FOODS,FOODS,stable,2013-10-21,2013-11-25,5,140623.0,177031.6558031562,141171.0,36408.6558031562,548.0,-35860.6558031562
worst_loss,naive,FOODS,FOODS,stable,2015-06-29,2015-08-03,5,198895.0,162650.0,197078.0,36245.0,1817.0,-34428.0
worst_loss,ets,FOODS,FOODS,stable,2015-11-16,2015-12-21,5,140943.0,189164.20480887804,154787.0,48221.20480887804,13844.0,-34377.20480887804
worst_loss,ets,FOODS,FOODS,stable,2015-06-29,2015-08-03,5,198895.0,162866.27598530383,197078.0,36028.72401469617,1817.0,-34211.72401469617
worst_loss,ets,FOODS,FOODS,stable,2015-10-19,2015-11-23,5,150214.0,185897.12076988493,152870.0,35683.12076988493,2656.0,-33027.12076988493
worst_loss,naive,FOODS,FOODS,stable,2015-06-29,2015-07-06,1,196107.0,162650.0,197078.0,33457.0,971.0,-32486.0
worst_loss,nbeats,FOODS,FOODS,stable,2013-10-21,2013-11-25,5,140623.0,173299.53125,141171.0,32676.53125,548.0,-32128.53125
worst_loss,naive,FOODS,FOODS,stable,2013-10-21,2013-11-25,5,140623.0,172473.0,141171.0,31850.0,548.0,-31302.0
worst_loss,naive,FOODS,FOODS,stable,2013-11-18,2013-11-25,1,140623.0,173072.0,142672.0,32449.0,2049.0,-30400.0
worst_loss,naive,FOODS,FOODS,stable,2013-11-18,2013-12-23,5,137601.0,173072.0,142672.0,35471.0,5071.0,-30400.0
worst_loss,lightgbm,FOODS,FOODS,stable,2013-10-21,2013-11-25,5,140623.0,169921.79696997858,141171.0,29298.796969978575,548.0,-28750.796969978575
