model_a,model_b,metric,mean_difference,median_difference,ci95_low,ci95_high,n_bootstrap,bootstrap_unit
catboost,ets,WAPE,0.014911143155911197,0.010724757150702119,-0.02228658378109491,0.04753003484833934,30,series_id x forecast_origin x horizon
catboost,lightgbm,WAPE,0.0070819280447136125,0.006631217054194338,0.003077179239423661,0.010593714336288765,30,series_id x forecast_origin x horizon
catboost,mlp,WAPE,0.03489494482177004,0.03361621752231576,0.023532937387957184,0.04485835173961043,30,series_id x forecast_origin x horizon
catboost,naive,WAPE,-0.011623124304509498,-0.015136458462341545,-0.042840514310801076,0.015751576984629805,30,series_id x forecast_origin x horizon
catboost,nbeats,WAPE,0.048000570068935725,0.04849405021403532,0.044155541114286406,0.05238534005034891,30,series_id x forecast_origin x horizon
catboost,ridge,WAPE,-0.0031647136156250128,-0.0015219771764941187,-0.01596435557901331,0.01143166173443276,30,series_id x forecast_origin x horizon
catboost,seasonal_naive,WAPE,-0.08223506545502961,-0.08528986212806115,-0.1093781650999531,-0.05843313183113043,30,series_id x forecast_origin x horizon
ets,lightgbm,WAPE,-0.007829215111197586,-0.004093540096507781,-0.03693632051205058,0.02536376302051857,30,series_id x forecast_origin x horizon
ets,mlp,WAPE,0.01998380166585884,0.022891460371613638,-0.002671683108728909,0.045819521169052094,30,series_id x forecast_origin x horizon
ets,naive,WAPE,-0.0265342674604207,-0.025861215613043664,-0.03177845786370953,-0.020553930529706166,30,series_id x forecast_origin x horizon
ets,nbeats,WAPE,0.03308942691302452,0.0377692930633332,-0.003374493734052929,0.07467192383144382,30,series_id x forecast_origin x horizon
ets,ridge,WAPE,-0.018075856771536215,-0.012246734327196238,-0.06349439042735265,0.03371824551552767,30,series_id x forecast_origin x horizon
ets,seasonal_naive,WAPE,-0.09714620861094077,-0.09601461927876327,-0.10596316667946977,-0.08709158131885819,30,series_id x forecast_origin x horizon
lightgbm,mlp,WAPE,0.027813016777056426,0.02698500046812142,0.020455758148533523,0.03426463740332167,30,series_id x forecast_origin x horizon
lightgbm,naive,WAPE,-0.018705052349223115,-0.021767675516535884,-0.045917693550224736,0.00515786264834104,30,series_id x forecast_origin x horizon
lightgbm,nbeats,WAPE,0.040918642024222095,0.04186283315984098,0.03356182677799764,0.04930816081092525,30,series_id x forecast_origin x horizon
lightgbm,ridge,WAPE,-0.010246641660338627,-0.008153194230688457,-0.026558069915302074,0.0083544824950091,30,series_id x forecast_origin x horizon
lightgbm,seasonal_naive,WAPE,-0.08931699349974319,-0.09192107918225549,-0.11245534433937676,-0.06902684616741919,30,series_id x forecast_origin x horizon
mlp,naive,WAPE,-0.04651806912627953,-0.0487526759846573,-0.06637345169875826,-0.029106774754980625,30,series_id x forecast_origin x horizon
mlp,nbeats,WAPE,0.013105625247165683,0.014877832691719564,-0.0007028106253240199,0.028852402662391724,30,series_id x forecast_origin x horizon
mlp,ridge,WAPE,-0.03805965843739505,-0.035138194698809876,-0.06082270731862374,-0.012101275653524424,30,series_id x forecast_origin x horizon
mlp,seasonal_naive,WAPE,-0.1171300102767996,-0.11890607965037692,-0.13291110248791027,-0.10329148357074086,30,series_id x forecast_origin x horizon
naive,nbeats,WAPE,0.05962369437344521,0.06363050867637687,0.028403964129656605,0.09522585436114998,30,series_id x forecast_origin x horizon
naive,ridge,WAPE,0.008458410688884485,0.013614481285847427,-0.031715932563643114,0.054272176045233836,30,series_id x forecast_origin x horizon
naive,seasonal_naive,WAPE,-0.07061194115052007,-0.07015340366571961,-0.07418470881576023,-0.06653765078915203,30,series_id x forecast_origin x horizon
nbeats,ridge,WAPE,-0.051165283684560726,-0.05001602739052944,-0.060119896693299715,-0.04095367831591615,30,series_id x forecast_origin x horizon
nbeats,seasonal_naive,WAPE,-0.13023563552396528,-0.13378391234209647,-0.16176350515030202,-0.10258867294541683,30,series_id x forecast_origin x horizon
ridge,seasonal_naive,WAPE,-0.07907035183940456,-0.08376788495156703,-0.12080982683438586,-0.04246877625211712,30,series_id x forecast_origin x horizon
