case_type,model_name,series_id,category,segment_label,forecast_origin,target_date,horizon,actual,prediction,baseline_prediction,model_abs_error,baseline_abs_error,abs_error_gain_vs_baseline
best_win,nbeats,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,212522.140625,175994.0,13289.859375,49818.0,36528.140625
best_win,mlp,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,206006.921875,175994.0,19805.078125,49818.0,30012.921875
best_win,ridge,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,203274.30861712634,175994.0,22537.691382873658,49818.0,27280.308617126342
best_win,lightgbm,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,201387.76621596335,175994.0,24424.233784036653,49818.0,25393.766215963347
best_win,catboost,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,200692.9022175506,175994.0,25119.09778244939,49818.0,24698.90221755061
best_win,ets,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,197455.2499634264,175994.0,5079.7500365735905,26541.0,21461.24996342641
best_win,mlp,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,196914.140625,175994.0,5620.859375,26541.0,20920.140625
best_win,nbeats,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,208298.203125,175994.0,5763.203125,26541.0,20777.796875
best_win,ets,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,195660.324160774,175994.0,30151.675839225994,49818.0,19666.324160774006
best_win,naive,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,191019.0,175994.0,34793.0,49818.0,15025.0
best_win,naive,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,191019.0,175994.0,11516.0,26541.0,15025.0
best_win,lightgbm,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,189974.35228851825,175994.0,12560.647711481754,26541.0,13980.352288518246
best_win,catboost,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,187828.754355418,175994.0,14706.245644581999,26541.0,11834.754355418001
best_win,ridge,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,184595.41359822254,175994.0,17939.58640177746,26541.0,8601.413598222542
worst_loss,ridge,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,184595.41359822254,175994.0,17939.58640177746,26541.0,8601.413598222542
worst_loss,catboost,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,187828.754355418,175994.0,14706.245644581999,26541.0,11834.754355418001
worst_loss,lightgbm,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,189974.35228851825,175994.0,12560.647711481754,26541.0,13980.352288518246
worst_loss,naive,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,191019.0,175994.0,34793.0,49818.0,15025.0
worst_loss,naive,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,191019.0,175994.0,11516.0,26541.0,15025.0
worst_loss,ets,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,195660.324160774,175994.0,30151.675839225994,49818.0,19666.324160774006
worst_loss,nbeats,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,208298.203125,175994.0,5763.203125,26541.0,20777.796875
worst_loss,mlp,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,196914.140625,175994.0,5620.859375,26541.0,20920.140625
worst_loss,ets,FOODS,FOODS,stable,2016-05-02,2016-05-16,2,202535.0,197455.2499634264,175994.0,5079.7500365735905,26541.0,21461.24996342641
worst_loss,catboost,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,200692.9022175506,175994.0,25119.09778244939,49818.0,24698.90221755061
worst_loss,lightgbm,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,201387.76621596335,175994.0,24424.233784036653,49818.0,25393.766215963347
worst_loss,ridge,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,203274.30861712634,175994.0,22537.691382873658,49818.0,27280.308617126342
worst_loss,mlp,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,206006.921875,175994.0,19805.078125,49818.0,30012.921875
worst_loss,nbeats,FOODS,FOODS,stable,2016-05-02,2016-05-09,1,225812.0,212522.140625,175994.0,13289.859375,49818.0,36528.140625
