series_id,category,segment_label,history_weeks,total_sales_units,mean_sales_units,zero_share,missing_share,outlier_share,coefficient_of_variation,skewness,sales_scale,volatility,trend_strength,mean_shift_ratio,variance_shift_ratio,acf_lag_1,acf_lag_7,acf_lag_28,acf_lag_52,acf_focus_lags,adf_pvalue,kpss_pvalue,kpss_pvalue_note,stationarity_hint
BEVERAGES,BEVERAGES,medium_noise,242,216942246.0,896455.561983471,0.0,0.0,0.05416666666666667,0.4161149121369327,-0.12252206015399823,896455.561983471,373028.5274094167,0.7227007527201808,2.0230938624834565,0.781299520734586,0.9228005966214458,0.7823884365047794,0.624998466744227,0.5714807706691744,"[1, 7, 28, 52]",0.25660385914383604,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
BREAD/BAKERY,BREAD/BAKERY,stable,242,42133945.574126795,174107.21311622643,0.0,0.0,0.004166666666666667,0.17910011422790525,-0.3642591586206063,174107.21311622643,31182.621757018398,0.6891510204632438,1.3046005802111362,0.8833983770034592,0.8552579667372684,0.7852925718948198,0.6771644376392066,0.6792508438495946,"[1, 7, 28, 52]",0.41275046455588044,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
CLEANING,CLEANING,stable,242,97518398.0,402968.5867768595,0.0,0.0,0.008333333333333333,0.1629010376654974,0.11085574779816347,402968.5867768595,65644.00093254945,0.46299530446665715,1.2125547711026614,1.2663648912515866,0.6041456787483357,0.4139975664293895,0.3080302629294671,0.6776770493104097,"[1, 7, 28, 52]",0.33581808550144987,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
DAIRY,DAIRY,stable,242,64487256.0,266476.2644628099,0.0,0.0,0.0125,0.28351949334571647,-0.696614532140517,266476.2644628099,75551.21548915502,0.7538644765169658,1.5118227401105184,0.6129254911221392,0.9318684230370837,0.8740240285264426,0.726474050492272,0.7322789092440685,"[1, 7, 28, 52]",0.37476911172062854,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
DELI,DELI,stable,242,24110322.46878728,99629.43168920363,0.0,0.0,0.008333333333333333,0.18961931454306477,-0.2710490997218665,99629.43168920363,18891.664545221887,0.6128446589346304,1.3083347996400503,0.9057119282505074,0.8097184963600207,0.7257928802082024,0.5803835299418982,0.5647313346625834,"[1, 7, 28, 52]",0.3526157799016641,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
GROCERY I,GROCERY I,stable,242,343461727.88600236,1419263.3383719106,0.0,0.0,0.029166666666666667,0.21193583702670954,0.6010111324020599,1419263.3383719106,300792.76357917296,0.6064921018764293,1.349701080088677,1.5033306721220525,0.7454794918463644,0.5869789227655496,0.5420705685806629,0.7610706734651564,"[1, 7, 28, 52]",0.33893180239539084,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
MEATS,MEATS,stable,242,31086468.40689618,128456.48102023215,0.0,0.0,0.016666666666666666,0.10508465446632219,0.04959071594386547,128456.48102023217,13498.804921970772,0.15579757337144318,1.087157860576143,1.7850560515080895,0.24852214421867888,0.10677736366452692,0.00721565893536185,0.465795835812398,"[1, 52]",0.0797547377840262,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
PERSONAL CARE,PERSONAL CARE,stable,242,24580943.0,101574.14462809918,0.0,0.0,0.020833333333333332,0.23588087359901605,0.4668387073039485,101574.14462809918,23959.397969948837,0.5221858830010495,1.3591519394882507,1.1564832011999826,0.6471070243988403,0.5192605029240313,0.40558485092849617,0.6840905562744869,"[1, 7, 28, 52]",0.4022731611403628,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
POULTRY,POULTRY,stable,242,31876004.472244933,131719.02674481377,0.0,0.0,0.025,0.22844701721604405,-1.2886440885324368,131719.02674481377,30090.81877045304,0.39893353006444654,1.237738873133059,0.4247850363211265,0.8683327064815686,0.7734843509501271,0.45477310390715664,0.27875471087421955,"[1, 7, 28, 52]",0.24507858219612833,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
PRODUCE,PRODUCE,medium_noise,242,122704678.67966092,507044.12677545834,0.04132231404958678,0.0,0.07916666666666666,0.8056246081364057,-0.36854562282942793,507044.1267754583,408487.2259413446,0.6107377016090245,4.196240137049193,0.5797721602104797,0.941352321385246,0.73036549105798,0.47396593495221717,0.40591047890720816,"[1, 7, 28, 52]",0.30673298858977915,0.01,clipped_low,likely_non_stationary_kpss_clipped_low
