metric,value
aggregation_level,category
source_frequency,daily
weekly_rule,W-MON
period_start,2012-12-31
period_end,2017-08-14
number_of_series,10
number_of_categories,10
history_weeks_min,242
history_weeks_median,242.0
history_weeks_max,242
zero_share_mean,0.004132231404958678
missing_share_mean,0.0
outlier_share_mean,0.02583333333333333
mean_cv,0.2818227862363614
mean_trend_strength,0.5535703003024071
short_history_share,0.0
high_zero_share_share,0.0
high_variance_share,0.0
problematic_share,0.0
intermittent_share,0.0
weekly_grid_complete_share,1.0
stockout_risk,high
structural_shift_risk,moderate
raw_item_count,4036
raw_store_count,54
raw_state_count,16
raw_department_count,33
raw_daily_observations,1684
