series_id,category,week_start,sales_units,segment_label,lag_1,lag_7,lag_28,rolling_mean_7,rolling_median_7,rolling_mad_7,rolling_iqr_7,rolling_robust_zscore_7,rolling_recent_outlier_flag_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_28,rolling_median_28,rolling_mad_28,rolling_iqr_28,rolling_robust_zscore_28,rolling_recent_outlier_flag_28,rolling_ratio_to_mean_7,rolling_recent_trend_delta_28,week_of_year,month,quarter,category_code,segment_code
GROCERY I,GROCERY I,2017-04-03,1869148.2960054278,stable,2005630.9929987192,1602222.8319991827,1442239.3970000148,1777298.5742861032,1728515.8549993038,122256.60100150108,226847.5915067792,1.5288676361803215,0.0,174790.55125084598,2029739.1000019312,1602222.8319991827,1756079.6304279673,1705717.0400024503,114732.56250160933,272557.1642484069,1.7631608401768752,0.0,1.128471615302078,563391.5959987044,14,4,2,5,1
GROCERY I,GROCERY I,2017-04-10,1725270.2060006857,stable,1869148.2960054278,1606259.2539978027,1666092.5400020778,1815430.7834298525,1761522.7150092125,107625.58099621534,219532.08150413632,0.6745,0.0,158596.35297549632,2029739.1000019312,1606259.2539978027,1771326.3768210176,1706505.051497683,115520.57399684191,260484.2182571441,0.9496392255069039,0.0,1.0295894027279233,203055.75600335002,15,4,2,5,1
GROCERY I,GROCERY I,2017-04-17,1691092.9400005639,stable,1725270.2060006857,2029739.1000019312,1705623.2480061054,1832432.348001693,1761522.7150092125,54323.44401264191,210496.61400207877,-0.45012457826791863,0.0,137398.23365856006,2029739.1000019312,1707199.2709965706,1773439.8648923966,1708177.930502981,117193.45300213993,260484.2182571441,0.09837358254979771,0.0,0.9415191823491493,19646.95799458027,16,4,2,5,1
GROCERY I,GROCERY I,2017-04-24,1672835.9710004926,stable,1691092.9400005639,1761522.7150092125,1537257.1899938583,1784054.3251443547,1728515.8549993038,33006.860009908676,99100.76700869203,-0.7647427279987407,0.0,113968.92111089258,2005630.9929987192,1691092.9400005639,1772920.9253207701,1708177.930502981,117193.45300213993,260484.2182571441,-0.09833165418950411,0.0,0.9478931869766527,153835.75000670552,17,4,2,5,1
GROCERY I,GROCERY I,2017-05-01,2093464.4169954658,stable,1672835.9710004926,1707199.2709965706,1484557.6840007305,1771384.7902859661,1725270.2060006857,34177.26600012183,99685.9700037986,-1.0348075093983289,0.0,121567.34685184281,2005630.9929987192,1672835.9710004926,1777763.0246424356,1708177.930502981,103936.88750448823,255837.00275051594,-0.22935217954644854,0.0,0.9443662270186004,188278.28699976206,18,5,2,5,1
GROCERY I,GROCERY I,2017-05-08,1693413.1579965353,stable,2093464.4169954658,1728515.8549993038,1420194.51699543,1826565.5254286656,1728515.8549993038,55679.883998811245,229208.07150144875,4.420946801391803,1.0,166819.67772729736,2093464.4169954658,1672835.9710004926,1799509.6936779618,1717213.3980050385,112972.35500654578,305755.77424559,2.246401894466471,0.0,1.146120622474884,673269.9000000358,19,5,2,5,1
GROCERY I,GROCERY I,2017-05-15,1812468.628998667,stable,1693413.1579965353,2005630.9929987192,1874182.374993652,1821550.8544282701,1725270.2060006857,52434.23500019312,245136.59550352395,-0.4098005602393226,0.0,170739.86835095828,2093464.4169954658,1672835.9710004926,1809267.502285144,1717213.3980050385,102516.51150764525,282337.15974832326,-0.15659196406169382,0.0,0.9296546148463402,-180769.2169971168,20,5,2,5,1
GROCERY I,GROCERY I,2017-05-22,1721804.741995871,stable,1812468.628998667,1869148.2960054278,1705810.8319987953,1793956.2309996912,1725270.2060006857,52434.23500019312,148555.41350349784,1.1216972329609038,0.0,150432.35610205834,2093464.4169954658,1672835.9710004926,1807063.4399281803,1717213.3980050385,94667.05500084162,282337.15974832326,0.6786907367576949,0.0,1.0103193141945608,106657.79699987173,21,5,2,5,1
GROCERY I,GROCERY I,2017-05-29,2024228.4330024123,stable,1721804.741995871,1725270.2060006857,1681904.6549967527,1772907.1518554688,1721804.741995871,30711.801995307207,76616.36850112677,0.0,0.0,148453.08303209403,2093464.4169954658,1672835.9710004926,1807634.6509995046,1723537.4739982784,95166.86850698292,282337.15974832326,-0.012280825816370916,0.0,0.9711759243533338,39900.08699911833,22,5,2,5,1
GROCERY I,GROCERY I,2017-06-05,1874331.7090034485,stable,2024228.4330024123,1691092.9400005639,1623134.5189969838,1815615.4699985725,1721804.741995871,48968.770995378494,226095.48200199008,4.165609539254384,1.0,173375.80177516275,2093464.4169954658,1672835.9710004926,1819860.5002139923,1726893.0304999948,112196.1440026015,307278.7122457251,1.787518909591317,0.0,1.1148993090502826,401093.91400542855,23,6,2,5,1
GROCERY I,GROCERY I,2017-06-12,1723112.3019970655,stable,1874331.7090034485,1672835.9710004926,1943344.3430014253,1841792.4369989845,1812468.628998667,119055.4710021317,241671.12100672722,0.3504807222381069,0.0,165075.79717787748,2093464.4169954658,1672835.9710004926,1828831.828428509,1745019.2850042582,122881.2254974246,286442.14274732023,0.7098011078126975,0.0,1.017667176469398,-69012.63399797678,24,6,2,5,1
