series_id,category,week_start,sales_units,segment_label,lag_1,lag_7,lag_28,rolling_mean_7,rolling_median_7,rolling_mad_7,rolling_iqr_7,rolling_robust_zscore_7,rolling_recent_outlier_flag_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_28,rolling_median_28,rolling_mad_28,rolling_iqr_28,rolling_robust_zscore_28,rolling_recent_outlier_flag_28,rolling_ratio_to_mean_7,rolling_recent_trend_delta_28,week_of_year,month,quarter,category_code,segment_code
MEATS,MEATS,2017-04-03,134311.6189583987,stable,145874.26798532903,135653.68893121183,127415.57880675793,138226.50284863584,135653.68893121183,1552.2080331146717,6468.53707986325,4.44127360826045,1.0,6715.597214604988,149221.72909349203,130654.33799825609,139385.14835012652,135511.11494997144,4724.320615306497,8531.00840948522,1.4795665433251326,0.0,1.055327777083877,18458.689178571105,14,4,2,6,1
MEATS,MEATS,2017-04-10,109615.98393443227,stable,134311.6189583987,130654.33799825609,133655.13193838298,138034.77856680538,135457.863980785,1356.3830826878548,7041.6595910564065,-0.5700028830111054,0.0,6819.642130291808,149221.72909349203,130654.33799825609,139631.4354983994,135511.11494997144,3827.9335835948586,7669.198396649212,-0.2113568662171023,0.0,0.9730273801496717,656.4870200157166,15,4,2,6,1
MEATS,MEATS,2017-04-17,140018.76000535488,stable,109615.98393443227,149221.72909349203,222038.71799518168,135029.29941483054,135457.863980785,1356.3830826878548,7041.6595910564065,-12.850608588190553,1.0,12708.079867758255,149221.72909349203,109615.98393443227,138772.8944982583,135511.11494997144,4724.320615306497,8531.00840948522,-3.697095792650394,1.0,0.8117940655062965,-112422.73406074941,16,4,2,6,1
MEATS,MEATS,2017-04-24,135541.81802845374,stable,140018.76000535488,134101.48089809716,137053.81499910355,133714.58954509668,135457.863980785,1356.3830826878548,4113.905601069331,2.2680350469103665,0.0,11404.254952001858,145874.26798532903,109615.98393443227,135843.6102843359,135511.11494997144,4550.823585577309,7657.124141402543,0.6681002971620208,0.0,1.0471464668268833,2964.945006251335,17,4,2,6,1
MEATS,MEATS,2017-05-01,153645.4459257871,stable,135541.81802845374,136622.15105327964,125701.35109445453,133920.35199229047,135541.81802845374,1230.1990700550377,3435.714059725404,0.0,0.0,11425.373063057152,145874.26798532903,109615.98393443227,135789.61039252699,135511.11494997144,4550.823585577309,7657.124141402543,0.004550654633579747,0.0,1.0121076894739391,9840.46693399921,18,5,2,6,1
MEATS,MEATS,2017-05-08,132919.37487348914,stable,153645.4459257871,135457.863980785,123073.62702791393,136352.25125979152,135541.81802845374,4476.941976901144,8061.772525750101,2.727508437624091,0.0,13684.635983275692,153645.4459257871,109615.98393443227,136787.61377936028,135536.97797170468,4524.96056384407,7334.436676863581,2.699285764526607,0.0,1.1268273497959846,30571.818897873163,19,5,2,6,1
MEATS,MEATS,2017-05-15,142636.66797722876,stable,132919.37487348914,145874.26798532903,140365.75406481326,135989.60995874926,135541.81802845374,4476.941976901144,9331.017079398036,-0.3950995829630959,0.0,13745.785552032647,153645.4459257871,109615.98393443227,137139.247630988,135536.97797170468,3784.7550534009933,7238.206191647798,-0.4664960518805117,0.0,0.9774230171982151,-7446.379191324115,20,5,2,6,1
MEATS,MEATS,2017-05-22,137106.74900208414,stable,142636.66797722876,134311.6189583987,136206.57198899984,135527.0956718778,135541.81802845374,4476.941976901144,7712.2170753479,1.06891630830587,0.0,13408.077182520126,153645.4459257871,109615.98393443227,137220.35169928853,135536.97797170468,3784.7550534009933,8941.391625959426,1.2652710257755826,0.0,1.052458678245152,6430.095988228917,21,5,2,6,1
MEATS,MEATS,2017-05-29,153090.73483847082,stable,137106.74900208414,109615.98393443227,135490.09198498726,135926.39996383287,137106.74900208414,4187.3741285949945,7097.1175403203815,0.0,0.0,13407.466924405135,153645.4459257871,109615.98393443227,137252.50087832726,135536.97797170468,3784.7550534009933,8941.391625959426,0.27975669364375233,0.0,1.0086837364821355,1616.657017096877,22,5,2,6,1
MEATS,MEATS,2017-06-05,145946.39205786586,stable,153090.73483847082,140018.76000535488,135532.13791495562,142137.07866440978,140018.76000535488,4476.941976901144,11539.417892580852,1.9694351792872007,0.0,8275.764884791242,153645.4459257871,132919.37487348914,137881.09526595168,135597.75347983278,4464.185055715963,9972.147709336132,2.6430391614912643,0.0,1.0770640305611103,17558.5969235152,23,6,2,6,1
MEATS,MEATS,2017-06-12,142370.09991431236,stable,145946.39205786586,135541.81802845374,143079.38013993204,142983.88324333992,142636.66797722876,7094.849948775023,13194.2799328994,0.31465202344063153,0.0,8326.000992814064,153645.4459257871,132919.37487348914,138253.03291391276,136137.91999224573,4725.389533743262,12086.344611518085,1.4000569394371163,0.0,1.0207191800035542,2867.0119179338217,24,6,2,6,1
MEATS,MEATS,2017-06-19,141560.53090377152,stable,142370.09991431236,153645.4459257871,134688.80398242176,143959.35208417688,142636.66797722876,5529.918975144625,9780.138989970088,-0.032514067429425246,0.0,7684.024274322978,153645.4459257871,132919.37487348914,138227.70147728347,136137.91999224573,4725.389533743262,12086.344611518085,0.8895785897472912,0.0,0.9889604103737891,7681.295931890607,25,6,2,6,1
MEATS,MEATS,2017-06-26,148728.24892041087,stable,141560.53090377152,132919.37487348914,132449.2498985529,142232.93565246038,142370.09991431236,3576.2921435534954,4957.890064619482,-0.15268727377155075,0.0,6394.472972386519,153090.73483847082,132919.37487348914,138473.12029590312,136864.4500276819,5100.865381360054,12086.344611518085,0.6209743473131805,0.0,0.9952725102269432,9111.281005218625,26,6,2,6,1
MEATS,MEATS,2017-07-03,147279.046927616,stable,148728.24892041087,142636.66797722876,117890.58197066188,144491.34623059205,142636.66797722876,3309.7240806370974,5372.005080096424,1.2414241326683115,0.0,5245.306779347098,153090.73483847082,137106.74900208414,139054.5131181123,138562.7545037195,5835.840600661933,11715.67561803013,1.17491659783864,0.0,1.0293228819603992,30837.666949748993,27,7,3,6,1
MEATS,MEATS,2017-07-10,136684.7430741787,stable,147279.046927616,137106.74900208414,124156.3180654943,145154.5432235045,145946.39205786586,3576.2921435534954,6038.332514971495,0.25134291986373486,0.0,5265.17000753724,153090.73483847082,137106.74900208414,140104.10115228925,140061.93853554875,5922.45557988435,11389.83002320677,0.8219461581076849,0.0,1.0146361502501526,23122.7288621217,28,7,3,6,1
MEATS,MEATS,2017-07-17,143579.6900368929,stable,136684.7430741787,153090.73483847082,163887.26387314498,145094.25666237515,145946.39205786586,3576.2921435534954,6038.332514971495,-1.746776266798447,0.0,5373.967694708773,153090.73483847082,136684.7430741787,140551.54490259942,140061.93853554875,5848.391486048698,10972.286792524159,-0.3894948455704546,0.0,0.9420410305573649,-27202.52079896629,29,7,3,6,1
MEATS,MEATS,2017-07-24,140536.10192622244,stable,143579.6900368929,145946.39205786586,146059.8640718162,143735.53597643547,143579.6900368929,2366.702020972967,4647.404083698988,0.0,0.0,4055.9538177041295,148728.24892041087,136684.7430741787,139826.27440844756,140061.93853554875,5781.324513465166,10582.38706811145,0.41041172868438075,0.0,0.9989157452366677,-2480.174034923315,30,7,3,6,1
MEATS,MEATS,2017-07-31,153183.7381299287,stable,140536.10192622244,142370.09991431236,140105.1170657426,142962.6373862007,142370.09991431236,1833.997988089919,4381.052067257464,-0.6745,0.0,4079.8581724011474,148728.24892041087,136684.7430741787,139628.99718896206,140061.93853554875,5308.179041042924,10499.926010221243,0.060251021025577806,0.0,0.9830267858487867,430.9848604798317,31,7,3,6,1
MEATS,MEATS,2017-08-07,132982.9310913682,stable,153183.7381299287,141560.53090377152,132534.452932626,144507.44284557443,143579.6900368929,3699.3568907231092,6955.331509016454,1.7510963743447916,0.0,5586.983214701166,153183.7381299287,136684.7430741787,140096.0907983973,140277.43096578866,5632.899055808783,10887.182782061398,1.5454394080141274,0.0,1.0600404734420916,20649.2851973027,32,8,3,6,1
MEATS,MEATS,2017-08-14,34903.85695903003,stable,132982.9310913682,148728.24892041087,148618.92401653528,143282.07144380253,143579.6900368929,5148.558883517981,9393.225423812866,-1.3882552517050266,0.0,7081.732654304464,153183.7381299287,132982.9310913682,140112.10787549522,140277.43096578866,5632.899055808783,10887.182782061398,-0.8734649984935972,0.0,0.9281198251208015,-15635.992925167084,33,8,3,6,1
