series_id,category,week_start,sales_units,segment_label,lag_1,lag_7,lag_28,rolling_mean_7,rolling_median_7,rolling_mad_7,rolling_iqr_7,rolling_robust_zscore_7,rolling_recent_outlier_flag_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_28,rolling_median_28,rolling_mad_28,rolling_iqr_28,rolling_robust_zscore_28,rolling_recent_outlier_flag_28,rolling_ratio_to_mean_7,rolling_recent_trend_delta_28,week_of_year,month,quarter,category_code,segment_code
PERSONAL CARE,PERSONAL CARE,2017-04-03,135257.0,stable,141730.0,112294.0,97644.0,125630.0,118150.0,955.0,12559.0,16.654146596858638,1.0,15780.946707976513,154128.0,112294.0,122821.39285714286,118199.0,5250.5,17562.0,3.0228853442529284,0.0,1.1281541033192708,44086.0,14,4,2,7,1
PERSONAL CARE,PERSONAL CARE,2017-04-10,114251.0,stable,135257.0,118150.0,118828.0,128910.42857142857,118248.0,1053.0,20586.0,10.895128679962014,1.0,14909.345087976719,154128.0,117195.0,124164.71428571429,118538.0,5250.5,18828.0,2.147788877249786,0.0,1.049232412760577,16429.0,15,4,2,7,1
PERSONAL CARE,PERSONAL CARE,2017-04-17,115639.0,stable,114251.0,154128.0,117578.0,128353.42857142857,118248.0,3997.0,21063.5,-0.6745,0.0,15441.673623209012,154128.0,114251.0,124001.25,118199.0,5250.5,20099.25,-0.507175697552614,0.0,0.8901281506198288,-3327.0,16,4,2,7,1
PERSONAL CARE,PERSONAL CARE,2017-04-24,116940.0,stable,115639.0,117665.0,100903.0,122855.0,117665.0,2026.0,10335.5,-0.6745,0.0,10926.808393426763,141730.0,114251.0,123932.0,118199.0,5250.5,20133.0,-0.32886772688315397,0.0,0.9412640918155549,14736.0,17,4,2,7,1
PERSONAL CARE,PERSONAL CARE,2017-05-01,147506.0,stable,116940.0,117195.0,95767.0,122751.42857142857,117195.0,1556.0,10463.0,-0.11053823907455013,0.0,10987.469269689715,141730.0,114251.0,124504.75,118199.0,4272.0,19896.0,-0.198781718164794,0.0,0.9526569373647092,21173.0,18,5,2,7,1
PERSONAL CARE,PERSONAL CARE,2017-05-08,99402.0,stable,147506.0,118248.0,93130.0,127081.57142857143,118248.0,3997.0,22204.0,4.937333249937454,1.0,13994.110866803068,147506.0,114251.0,126352.57142857143,119513.5,4975.0,20227.25,3.795164070351759,1.0,1.1607190432242058,54376.0,19,5,2,7,1
PERSONAL CARE,PERSONAL CARE,2017-05-15,117718.0,stable,99402.0,141730.0,140485.0,124389.28571428571,116940.0,17538.0,23548.5,-0.6745,0.0,17380.05901135235,147506.0,99402.0,126576.57142857143,119513.5,4975.0,20227.25,-2.7266747236180904,0.0,0.7991202733354389,-41083.0,20,5,2,7,1
PERSONAL CARE,PERSONAL CARE,2017-05-22,112220.0,stable,117718.0,135257.0,120779.0,120959.0,116940.0,2689.0,11542.5,0.1951509854964671,0.0,15672.887247302637,147506.0,99402.0,125763.46428571429,118199.0,3708.0,18942.75,-0.0874958198489752,0.0,0.973205797005597,-3061.0,21,5,2,7,1
PERSONAL CARE,PERSONAL CARE,2017-05-29,141447.0,stable,112220.0,114251.0,114826.0,117668.0,115639.0,2079.0,4093.5,-1.1092426647426648,0.0,14548.533247948459,147506.0,99402.0,125457.78571428571,117934.0,4297.0,19896.0,-0.8969264603211543,0.0,0.9537002413570385,-2606.0,22,5,2,7,1
PERSONAL CARE,PERSONAL CARE,2017-06-05,131246.0,stable,141447.0,115639.0,102663.0,121553.14285714286,116940.0,4720.0,15653.0,3.5021126059322034,1.0,16921.699702143364,147506.0,99402.0,126408.53571428571,118199.0,5250.5,20227.25,2.986530044757642,0.0,1.1636638648351338,38784.0,23,6,2,7,1
