series_id,category,week_start,sales_units,segment_label,lag_1,lag_7,lag_28,rolling_mean_7,rolling_median_7,rolling_mad_7,rolling_iqr_7,rolling_robust_zscore_7,rolling_recent_outlier_flag_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_28,rolling_median_28,rolling_mad_28,rolling_iqr_28,rolling_robust_zscore_28,rolling_recent_outlier_flag_28,rolling_ratio_to_mean_7,rolling_recent_trend_delta_28,week_of_year,month,quarter,category_code,segment_code
POULTRY,POULTRY,2017-04-03,139615.91403096914,stable,147416.99697177857,142274.02010997944,135182.1808584705,146383.54716373872,145151.91812280007,2877.8980128206313,4767.724384059198,0.5308720728913555,0.0,10849.572164482746,169059.17897559702,134457.75999377668,148644.53206741172,146462.51846562698,5502.797454036772,10633.00264419755,0.11699426660288324,0.0,1.0070598767966996,12234.816113308072,14,4,2,8,1
POULTRY,POULTRY,2017-04-10,116784.76892980933,stable,139615.91403096914,134457.75999377668,142955.1850183159,146003.8177238801,145151.91812280007,4185.67608984001,6096.777423564345,-0.8920983563452674,0.0,11061.815563728122,169059.17897559702,134457.75999377668,148802.87968071524,146462.51846562698,5502.797454036772,10633.00264419755,-0.839215822452086,0.0,0.9562483790321725,-3339.2709873467684,15,4,2,8,1
POULTRY,POULTRY,2017-04-17,148352.9947669804,stable,116784.76892980933,169059.17897559702,143892.48092195392,143479.10471474193,145151.91812280007,4185.67608984001,6096.777423564345,-4.571219014561541,1.0,15329.735343820355,169059.17897559702,116784.76892980933,147868.22196326856,146462.51846562698,6043.015399076045,11883.94517448172,-3.3125254099087074,0.0,0.813949662997933,-27107.711992144585,16,4,2,8,1
POULTRY,POULTRY,2017-04-24,142463.50902567804,stable,148352.9947669804,145151.91812280007,139687.60411339998,140521.07839922528,145151.91812280007,3201.0766441803426,6096.777423564345,0.6745,0.0,10940.520109032528,148352.9947669804,116784.76892980933,148027.52602916237,147683.07243327424,6719.28004181385,11883.94517448172,0.06724866522497741,0.0,1.0557348154239492,8665.390653580427,17,4,2,8,1
POULTRY,POULTRY,2017-05-01,167803.4010702744,stable,142463.50902567804,145358.71393927932,139885.8061428815,140137.01995677926,142463.50902567804,2895.2049136012793,6096.777423564345,0.0,0.0,10797.11177058874,148352.9947669804,116784.76892980933,148126.66549031515,147683.07243327424,6062.941361804493,10633.00264419755,-0.5806745123089586,0.0,1.0166015309132184,2577.702882796526,18,5,2,8,1
POULTRY,POULTRY,2017-05-08,141142.1009005159,stable,167803.4010702744,140966.24203296006,134072.07103060186,143343.4038326357,142463.50902567804,4953.487946100533,7593.9178374148905,3.4504489301392502,0.0,15086.760246843032,167803.4010702744,116784.76892980933,149123.72245200776,148151.07133087516,6065.391003304161,12115.15953090461,2.185431475399324,0.0,1.1706391545312933,33731.33003967255,19,5,2,8,1
POULTRY,POULTRY,2017-05-15,149153.83506584167,stable,141142.1009005159,147416.99697177857,154404.80211658776,143368.52652800083,142463.50902567804,4953.487946100533,7505.988403636962,-0.17993175518343413,0.0,15082.287772984488,167803.4010702744,116784.76892980933,149376.22351879042,148151.07133087516,6065.391003304161,12115.15953090461,-0.779430469148971,0.0,0.9844706109394932,-13262.701216071844,20,5,2,8,1
POULTRY,POULTRY,2017-05-22,145715.87388513982,stable,149153.83506584167,139615.91403096914,151666.590159595,143616.64625572413,142463.50902567804,5889.485741302371,8374.407450668514,0.766217138865587,0.0,15173.997303235441,167803.4010702744,116784.76892980933,149188.68898126375,148151.07133087516,5782.306763046421,10290.435649238992,0.11697133461638956,0.0,1.0385553412816646,-2512.755093753338,21,5,2,8,1
POULTRY,POULTRY,2017-05-29,170183.69796954095,stable,145715.87388513982,116784.76892980933,147949.1478947699,144488.06909203422,145715.87388513982,3437.961180701852,6950.609953314066,0.0,0.0,15080.81794278187,167803.4010702744,116784.76892980933,148976.16340003323,147683.07243327424,5314.307865445502,10290.435649238992,-0.24967981801435035,0.0,1.0084976206050864,-2233.274009630084,22,5,2,8,1
POULTRY,POULTRY,2017-06-05,158201.56603449583,stable,170183.69796954095,148352.9947669804,145072.3850825131,152116.4875262816,148352.9947669804,5889.485741302371,14388.926612649113,2.500185917229323,0.0,11902.58758853491,170183.69796954095,141142.1009005159,149770.25447413218,147884.9958693795,6176.935364131816,12733.117871247698,2.4349412256919227,0.0,1.1187722037043344,25111.31288702786,23,6,2,8,1
POULTRY,POULTRY,2017-06-12,147351.3500522673,stable,158201.56603449583,142463.50902567804,155864.6817893982,153523.4262787838,149153.83506584167,8011.734165325761,18912.79209697619,0.7617195494040822,0.0,11965.488664942779,170183.69796954095,141142.1009005159,150239.15379384585,148707.85138759762,6795.330839709379,13730.596819896717,0.9423397742333773,0.0,1.0304718300594529,2336.884245097637,24,6,2,8,1
POULTRY,POULTRY,2017-06-19,142781.7580099702,stable,147351.3500522673,167803.4010702744,150722.4689682722,154221.6892825823,149153.83506584167,8011.734165325761,16468.871583681554,-0.15174943608559843,0.0,11338.704149125047,170183.69796954095,141142.1009005159,149935.10623180546,147884.9958693795,6176.935364131816,13015.169698499609,-0.05827227944334413,0.0,0.9554515369253519,-3371.118916004896,25,6,2,8,1
POULTRY,POULTRY,2017-06-26,153267.1299137622,stable,142781.7580099702,141142.1009005159,149062.70800821483,150647.16884539597,147351.3500522673,4569.592042297125,9428.884602613747,-0.6745,0.0,10233.653865518269,170183.69796954095,141142.1009005159,149651.5094118661,147384.17351202294,5676.113006775267,13015.169698499609,-0.5469111084344362,0.0,0.9477891891649303,-6280.949998244643,26,6,2,8,1
POULTRY,POULTRY,2017-07-03,155978.22101867944,stable,153267.1299137622,149153.83506584167,156992.88909840584,152379.3158472883,149153.83506584167,4113.294847920537,9200.736005425453,0.6745,0.0,9344.174436025558,170183.69796954095,142781.7580099702,149801.66733706422,147384.17351202294,6062.514506623149,13015.169698499609,0.6545228202981016,0.0,1.0058263423847085,-3725.759184643626,27,7,3,8,1
POULTRY,POULTRY,2017-07-10,146434.54003638774,stable,155978.22101867944,145715.87388513982,138370.03888964653,153354.2281262651,153267.1299137622,5915.779861494899,10556.281557884067,0.309110716267353,0.0,9307.495096645936,170183.69796954095,142781.7580099702,149765.42919135973,147384.17351202294,6062.514506623149,12761.50267856801,0.9561519460130068,0.0,1.01711066544741,17608.18212903291,28,7,3,8,1
POULTRY,POULTRY,2017-07-17,146275.8300520666,stable,146434.54003638774,170183.69796954095,185310.20296162367,153456.89471930053,153267.1299137622,5915.779861494899,10196.948482260108,-0.7790320093358758,0.0,9212.678171841279,170183.69796954095,142781.7580099702,150053.44708945762,147384.17351202294,5496.554901891388,12475.443711424246,-0.11653259009484915,0.0,0.9542389105699167,-38875.66292523593,29,7,3,8,1
POULTRY,POULTRY,2017-07-24,143422.89009538293,stable,146275.8300520666,158201.56603449583,154910.77896086872,150041.4850168042,147351.3500522673,4569.592042297125,8267.490421993658,-0.15875339273628206,0.0,5764.361966990481,158201.56603449583,142781.7580099702,148659.36234268773,146892.94504432753,4848.908415527083,10975.846411641687,-0.08584283855457248,0.0,0.9749025746824896,-8634.948908802122,30,7,3,8,1
POULTRY,POULTRY,2017-07-31,155350.15295398235,stable,143422.89009538293,147351.3500522673,151971.8369410336,147930.2455969309,146434.54003638774,3011.6499410048127,5459.879909290001,-0.6745,0.0,4922.478485162034,155978.22101867944,142781.7580099702,148249.0805974918,146355.18504422717,3986.4204763984308,9593.464420318604,-0.49614258072001755,0.0,0.9695305345883811,-8548.946845650673,31,7,3,8,1
POULTRY,POULTRY,2017-08-07,132025.89793802053,stable,155350.15295398235,142781.7580099702,149433.09793937206,149072.93172574736,146434.54003638774,3652.7820264175534,9459.28136014752,1.646301605030441,0.0,5641.580018546357,155978.22101867944,142781.7580099702,148369.7347408114,146355.18504422717,3986.4204763984308,11085.689909920096,1.5219432799550678,0.0,1.0421083905412374,5917.0550146102905,32,8,3,8,1
POULTRY,POULTRY,2017-08-14,36184.2180339694,stable,132025.89793802053,153267.1299137622,164447.0708859563,147536.3802868974,146434.54003638774,6832.58987737447,9459.28136014752,-1.4223931583441127,0.0,8420.808676548013,155978.22101867944,132025.89793802053,147748.0490264774,145995.8519686032,4287.791463355534,11371.74887706386,-2.1975728237151695,0.0,0.8948701173316346,-32421.17294793576,33,8,3,8,1
