series_id,category,week_start,sales_units,segment_label,lag_1,lag_7,lag_28,rolling_mean_7,rolling_median_7,rolling_mad_7,rolling_iqr_7,rolling_robust_zscore_7,rolling_recent_outlier_flag_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_28,rolling_median_28,rolling_mad_28,rolling_iqr_28,rolling_robust_zscore_28,rolling_recent_outlier_flag_28,rolling_ratio_to_mean_7,rolling_recent_trend_delta_28,week_of_year,month,quarter,category_code,segment_code
HOUSEHOLD,HOUSEHOLD,2016-01-04,64577,stable,67550.0,62993.0,64886.0,62425.28571428572,62390.0,4815.0,5541.5,0.7228286604361371,0.0,5012.45780412124,69374.0,55210.0,67312.85714285714,68127.0,2925.5,5902.75,-0.13303247308152452,0.0,1.0820935655652357,2664.0,1,1,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-01-11,62194,stable,64577.0,57575.0,70278.0,62651.57142857143,62390.0,4815.0,6333.5,0.30636168224299065,0.0,5077.688741187431,69374.0,55210.0,67301.82142857143,68127.0,2925.5,6134.5,-0.8184840198256708,0.0,1.0307323268598896,-5701.0,2,1,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-01-18,64708,stable,62194.0,69374.0,66667.0,63311.42857142857,62390.0,2187.0,4024.0,-0.06044901691815272,0.0,4584.16571316034,69374.0,55210.0,67013.10714285714,67870.0,3285.5,6718.0,-1.1652600821792725,0.0,0.9823502865652782,-4473.0,3,1,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-01-25,67293,stable,64708.0,61885.0,69925.0,62644.857142857145,62390.0,2187.0,2603.0,0.7149021490626429,0.0,3833.4681611900446,67550.0,55210.0,66943.14285714286,67870.0,3285.5,6718.0,-0.6491459443007151,0.0,1.0329339542181093,-5217.0,4,1,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-01,69396,stable,67293.0,62390.0,68244.0,63417.42857142857,64577.0,2383.0,3708.5,0.7687545111204365,0.0,4183.75134128629,67550.0,55210.0,66849.14285714286,67640.0,3412.5,6718.0,-0.06858652014652014,0.0,1.0611120872585724,-951.0,5,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-08,71328,stable,69396.0,55210.0,71946.0,64418.28571428572,64708.0,2585.0,4036.0,1.22323249516441,0.0,4702.806846777322,69396.0,55210.0,66890.28571428571,67640.0,3412.5,6718.0,0.34708336996336997,0.0,1.0772717595713728,-2550.0,6,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-15,74002,stable,71328.0,67550.0,72654.0,66720.85714285714,67293.0,2585.0,3830.5,1.0528462282398452,0.0,3123.489844632756,71328.0,62194.0,66868.21428571429,67640.0,3412.5,6718.0,0.7289541391941392,0.0,1.0690510142469907,-1326.0,7,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-22,70800,stable,74002.0,64577.0,70957.0,67642.57142857143,67293.0,2716.0,5719.5,1.6661342047128131,0.0,4181.6622634682435,74002.0,62194.0,66916.35714285714,67640.0,3412.5,6718.0,1.2574854212454212,0.0,1.0940151806343426,3045.0,8,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-29,75163,stable,70800.0,62194.0,72506.0,68531.57142857143,69396.0,2103.0,5063.5,0.45030813124108415,0.0,4081.6086639601153,74002.0,62194.0,66910.75,67640.0,3334.0,6678.75,0.6392981403719257,0.0,1.0331004896596145,-1706.0,9,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-03-07,69962,stable,75163.0,64708.0,69975.0,70384.28571428571,70800.0,3202.0,4320.5,0.919064178638351,0.0,3645.553397144035,75163.0,64708.0,67005.64285714286,67640.0,3334.0,6678.75,1.521974655068986,0.0,1.067894619334673,5188.0,10,3,1,2,0
