metric,value
aggregation_level,sku
source_frequency,daily
weekly_rule,W-MON
period_start,2011-01-24
period_end,2016-05-16
number_of_series,10
number_of_categories,3
history_weeks_min,278
history_weeks_median,278.0
history_weeks_max,278
zero_share_mean,0.0
missing_share_mean,0.0
outlier_share_mean,0.0028880866425992783
mean_cv,0.21695587025750526
mean_trend_strength,0.5284588021941355
short_history_share,0.0
high_zero_share_share,0.0
high_variance_share,0.0
problematic_share,0.0
intermittent_share,0.0
weekly_grid_complete_share,1.0
stockout_risk,high
structural_shift_risk,not_assessed
raw_item_count,3049
raw_store_count,10
raw_state_count,3
raw_department_count,7
raw_daily_observations,1941
