sales_rank,series_id,category,segment_label,total_sales_units,sales_share,cumulative_sales_share,mean_sales_units,median_sales_units,zero_share,outlier_share,coefficient_of_variation,trend_strength
1,FOODS_3_555,FOODS,stable,497881,0.3244295874914882,0.3244295874914882,1790.9388489208634,1717.0,0.0,0.0036101083032490976,0.2048051470612983,0.4649560410521042
2,FOODS_3_080,FOODS,stable,265811,0.17320796150224646,0.4976375489937347,956.1546762589928,946.0,0.0,0.0,0.1926010474982254,0.6210141962515192
3,FOODS_3_389,FOODS,stable,171940,0.11203967067087614,0.6096772196646109,618.4892086330935,619.5,0.0,0.0,0.200309139274948,0.45605571032926895
4,FOODS_3_228,FOODS,stable,142505,0.09285921408022103,0.7025364337448319,512.6079136690647,515.0,0.0,0.0,0.20568992103652467,0.553739183175189
5,FOODS_3_756,FOODS,stable,114433,0.07456691656322187,0.7771033503080538,411.6294964028777,402.5,0.0,0.0036101083032490976,0.24240146343344698,0.4262916190986883
6,FOODS_3_697,FOODS,stable,100470,0.06546833611901201,0.8425716864270658,361.40287769784175,376.5,0.0,0.007220216606498195,0.21349423860427444,0.5097019994536847
7,HOUSEHOLD_1_373,HOUSEHOLD,stable,91069,0.05934244950753762,0.9019141359346035,327.5863309352518,314.0,0.0,0.0,0.2350825898047683,0.7043191963360166
8,FOODS_3_477,FOODS,stable,82051,0.053466133640898326,0.9553802695755018,295.1474820143885,286.5,0.0,0.0036101083032490976,0.20383538918929234,0.37790622312434485
9,HOBBIES_1_323,HOBBIES,stable,35343,0.023030231944403717,0.9784105015199055,127.13309352517986,125.0,0.0,0.0036101083032490976,0.22707774734056277,0.6599723507061731
10,HOUSEHOLD_1_251,HOUSEHOLD,stable,33132,0.021589498480094615,1.0,119.17985611510791,113.0,0.0,0.007220216606498195,0.24426201933171127,0.5106315024143662
