series_id,category,week_start,sales_units,segment_label,lag_1,lag_7,lag_28,rolling_mean_7,rolling_median_7,rolling_mad_7,rolling_iqr_7,rolling_robust_zscore_7,rolling_recent_outlier_flag_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_28,rolling_median_28,rolling_mad_28,rolling_iqr_28,rolling_robust_zscore_28,rolling_recent_outlier_flag_28,rolling_ratio_to_mean_7,rolling_recent_trend_delta_28,week_of_year,month,quarter,category_code,segment_code
HOBBIES_1_323,HOBBIES,2016-01-04,78,stable,111.0,102.0,90.0,97.14285714285714,102.0,9.0,16.5,0.6745,0.0,11.12697280528253,111.0,82.0,94.14285714285714,93.0,7.5,15.5,1.6188,0.0,1.1426470588235293,21.0,1,1,1,1,0
HOBBIES_1_323,HOBBIES,2016-01-11,91,stable,78.0,91.0,91.0,93.71428571428571,91.0,12.0,21.0,-0.7307083333333333,0.0,12.932056883499486,111.0,78.0,93.71428571428571,93.0,8.0,16.5,-1.2646875,0.0,0.8323170731707318,-13.0,2,1,1,1,0
HOBBIES_1_323,HOBBIES,2016-01-18,78,stable,91.0,106.0,94.0,93.71428571428571,91.0,12.0,21.0,0.0,0.0,12.932056883499486,111.0,78.0,93.71428571428571,93.0,8.0,16.5,-0.168625,0.0,0.9710365853658537,-3.0,3,1,1,1,0
HOBBIES_1_323,HOBBIES,2016-01-25,108,stable,78.0,82.0,106.0,89.71428571428571,85.0,7.0,17.0,-0.6745,0.0,12.828539611795156,111.0,78.0,93.14285714285714,92.0,8.5,17.25,-1.110941176470588,0.0,0.8694267515923567,-28.0,4,1,1,1,0
HOBBIES_1_323,HOBBIES,2016-02-01,97,stable,108.0,103.0,85.0,93.42857142857143,91.0,13.0,24.0,0.8820384615384615,0.0,13.938641048742351,111.0,78.0,93.21428571428571,92.0,8.5,17.25,1.2696470588235294,0.0,1.1559633027522935,23.0,5,2,1,1,0
HOBBIES_1_323,HOBBIES,2016-02-08,98,stable,97.0,85.0,108.0,92.57142857142857,91.0,13.0,21.0,0.3113076923076923,0.0,13.42705158572368,111.0,78.0,93.64285714285714,93.0,8.5,16.5,0.31741176470588234,0.0,1.0478395061728396,-11.0,6,2,1,1,0
HOBBIES_1_323,HOBBIES,2016-02-15,84,stable,98.0,111.0,99.0,94.42857142857143,97.0,11.0,18.5,0.06131818181818182,0.0,13.10034532441871,111.0,78.0,93.28571428571429,93.0,7.5,14.0,0.44966666666666666,0.0,1.037821482602118,-1.0,7,2,1,1,0
HOBBIES_1_323,HOBBIES,2016-02-22,86,stable,84.0,78.0,103.0,90.57142857142857,91.0,7.0,16.5,-0.6745,0.0,11.25251294684956,108.0,78.0,92.75,92.0,7.5,14.25,-0.7194666666666667,0.0,0.9274447949526814,-19.0,8,2,1,1,0
HOBBIES_1_323,HOBBIES,2016-02-29,88,stable,86.0,91.0,91.0,91.71428571428571,91.0,7.0,12.5,-0.4817857142857143,0.0,10.111285538350959,108.0,78.0,92.14285714285714,91.0,7.0,13.25,-0.4817857142857143,0.0,0.9376947040498443,-5.0,9,2,1,1,0
HOBBIES_1_323,HOBBIES,2016-03-07,95,stable,88.0,78.0,82.0,91.28571428571429,88.0,9.0,12.5,0.0,0.0,10.209705932986758,108.0,78.0,92.03571428571429,91.0,7.0,13.25,-0.28907142857142853,0.0,0.9640062597809076,6.0,10,3,1,1,0
